Day fraction since midnight on 	red dye (mg/L)	Run Pump ()	Pump ()
0.610183729	20.17996216	1	1
0.610195315	20.12157822	1	1
0.610206875	20.11935425	1	1
0.610218456	20.18413734	1	1
0.610230041	20.13881111	1	1
0.610241597	20.02087593	1	1
0.61025317	20.00034142	1	1
0.610264743	19.93555832	1	1
0.610276335	20.01890373	1	1
0.610287912	20.1165905	1	1
0.610299478	19.86284828	1	1
0.610311041	19.45156097	1	1
0.61032262	19.43680382	1	1
0.610334199	19.26235199	1	1
0.610345767	19.58821106	1	1
0.610357344	19.5870285	1	1
0.610368914	19.25694466	1	1
0.610380489	18.90431976	1	1
0.610392077	18.81706047	1	1
0.610403632	18.98153114	1	1
0.610415214	19.17432785	1	1
0.610426784	19.1350441	1	1
0.610438375	19.179533	1	1
0.610449948	19.17749023	1	1
0.610461513	19.09138298	1	1
0.610473092	19.00576782	1	1
0.610484668	18.88120842	1	1
0.610496241	18.89515686	1	1
0.610507811	19.07187843	1	1
0.610519376	18.88666344	1	1
0.610530954	18.74117851	1	1
0.610542531	18.76285934	1	1
0.61055411	18.84095192	1	1
0.610565692	18.89797974	1	1
0.610577246	19.07099342	1	1
0.610588823	18.91814613	1	1
0.61060041	18.92675018	1	1
0.610611978	19.0210228	1	1
0.610623541	19.07069588	1	1
0.610635126	18.83399391	1	1
0.610646697	18.34658623	1	1
0.610658267	18.22296715	1	1
0.610669858	18.21310616	1	1
0.610681432	18.28686523	1	1
0.610692993	18.44740677	1	1
0.610704574	18.40745926	1	1
0.610716149	18.57525253	1	1
0.610727725	18.2308197	1	1
0.610739289	17.94644356	1	1
0.610750875	17.75341606	1	1
0.610762449	18.00520706	1	1
0.610774011	18.06242752	1	1
0.610785594	17.98563194	1	1
0.610797164	17.70409393	1	1
0.610808729	17.63050461	1	1
0.610820304	17.63530731	1	1
0.610831884	17.72588921	1	1
0.610843453	17.69959068	1	1
0.610855032	17.5621357	1	1
0.610866604	17.46753502	1	1
0.610878175	17.62562752	1	1
0.610889759	17.63887405	1	1
0.610901329	17.57048225	1	1
0.610912904	17.54369926	1	1
0.610924486	17.25697517	1	1
0.610936061	17.15573883	1	1
0.610947618	17.17221832	1	1
0.610959191	17.27382088	1	1
0.610970765	17.20232773	1	1
0.610982354	17.29057693	1	1
0.61099393	17.44532776	1	1
0.611005489	17.42671204	1	1
0.611017065	17.44169235	1	1
0.611028653	17.41286659	1	1
0.61104021	17.29373741	1	1
0.611051796	17.24053383	1	1
0.611063362	17.22074318	1	1
0.611074939	16.94065857	1	1
0.611086521	16.53765869	1	1
0.611098091	16.42852592	1	1
0.611109661	16.82288361	1	1
0.611121227	17.06248093	1	1
0.611132816	17.13036537	1	1
0.611144387	16.84985542	1	1
0.61115597	16.90237045	1	1
0.61116753	16.65046501	1	1
0.611179105	16.79329109	1	1
0.611190672	16.86962318	1	1
0.611202252	16.88554001	1	1
0.611213827	16.74913788	1	1
0.611225403	16.52119446	1	1
0.611236988	16.63301849	1	1
0.611248562	16.59785843	1	1
0.611260135	16.32454681	1	1
0.611271689	16.10163879	1	1
0.611283267	16.10960197	1	1
0.611294855	16.06188393	1	1
0.611306424	16.02720451	1	1
